Data\Ora;Tipologia;Periferica;Valore;Codice;Descrizione
18/03/2025 15:39:00;;Satellite1;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
18/03/2025 15:39:00;;Satellite2;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
18/03/2025 15:38:59;;Satellite4;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
18/03/2025 15:38:59;;Satellite3;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
18/03/2025 15:38:57;;Shuttle1;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
18/03/2025 15:38:56;;Shuttle2;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
18/03/2025 15:38:55;;Shuttle3;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
18/03/2025 15:38:55;;Shuttle4;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
18/03/2025 15:38:34;;H1;OFF;DB106.DBX8.0; - 64 - SISTEMA DI SICUREZZA ZONA INGRESSO
18/03/2025 15:38:34;;H2;OFF;DB106.DBX6.2; - 50 - PORTA ACCESSO AL MAGAZZINO APERTA
18/03/2025 15:38:34;;H2;OFF;DB106.DBX0.1; - 01 - SICUREZZA ELEVATORI
18/03/2025 15:34:04;;H1;ON;DB106.DBX8.0; - 64 - SISTEMA DI SICUREZZA ZONA INGRESSO
18/03/2025 15:34:02;;H1;OFF;DB106.DBX8.0; - 64 - SISTEMA DI SICUREZZA ZONA INGRESSO
18/03/2025 15:29:39;;H1;ON;DB106.DBX8.0; - 64 - SISTEMA DI SICUREZZA ZONA INGRESSO
18/03/2025 15:29:37;;H1;OFF;DB106.DBX8.0; - 64 - SISTEMA DI SICUREZZA ZONA INGRESSO
18/03/2025 15:28:31;;H1;ON;DB106.DBX8.0; - 64 - SISTEMA DI SICUREZZA ZONA INGRESSO
18/03/2025 15:28:29;;H1;OFF;DB106.DBX8.0; - 64 - SISTEMA DI SICUREZZA ZONA INGRESSO
18/03/2025 15:24:10;;H1;ON;DB106.DBX8.0; - 64 - SISTEMA DI SICUREZZA ZONA INGRESSO
18/03/2025 15:24:07;;H1;OFF;DB106.DBX8.0; - 64 - SISTEMA DI SICUREZZA ZONA INGRESSO
18/03/2025 15:20:51;;H1;ON;DB106.DBX8.0; - 64 - SISTEMA DI SICUREZZA ZONA INGRESSO
18/03/2025 15:20:49;;H1;OFF;DB106.DBX8.0; - 64 - SISTEMA DI SICUREZZA ZONA INGRESSO
18/03/2025 15:05:03;;H2;ON;DB106.DBX6.2; - 50 - PORTA ACCESSO AL MAGAZZINO APERTA
18/03/2025 15:04:46;;H2;ON;DB106.DBX0.1; - 01 - SICUREZZA ELEVATORI
18/03/2025 15:04:46;;H1;ON;DB106.DBX8.0; - 64 - SISTEMA DI SICUREZZA ZONA INGRESSO
18/03/2025 15:04:10;;H1;OFF;DB106.DBX8.0; - 64 - SISTEMA DI SICUREZZA ZONA INGRESSO
18/03/2025 15:04:10;;H2;OFF;DB106.DBX0.1; - 01 - SICUREZZA ELEVATORI
18/03/2025 15:04:00;;H1;ON;DB106.DBX8.0; - 64 - SISTEMA DI SICUREZZA ZONA INGRESSO
18/03/2025 15:04:00;;H2;ON;DB106.DBX0.1; - 01 - SICUREZZA ELEVATORI
18/03/2025 15:03:54;;Satellite4;ON;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
18/03/2025 15:03:54;;Shuttle1;ON;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
18/03/2025 15:03:54;;Shuttle4;ON;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
18/03/2025 15:03:54;;Shuttle3;ON;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
18/03/2025 15:03:53;;Satellite3;ON;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
18/03/2025 15:03:53;;Satellite1;ON;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
18/03/2025 15:03:53;;Shuttle2;ON;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
18/03/2025 15:03:53;;Satellite2;ON;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
18/03/2025 13:46:33;;Satellite2;OFF;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
18/03/2025 13:46:32;;Satellite2;ON;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
18/03/2025 13:42:20;;Satellite2;OFF;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
18/03/2025 13:42:19;;Satellite2;ON;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
18/03/2025 07:57:58;;Satellite2;OFF;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
18/03/2025 07:57:57;;Satellite2;ON;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
18/03/2025 07:57:12;;Satellite4;OFF;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
18/03/2025 07:57:10;;Satellite4;ON;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
18/03/2025 07:44:18;;Shuttle3;OFF;DB106.DBX16.3;#20 - General - Passaggio in modalità manuale con missioni appese
18/03/2025 07:44:13;;Shuttle1;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
18/03/2025 07:44:12;;Shuttle2;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
18/03/2025 07:44:12;;Shuttle3;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
18/03/2025 07:44:11;;Shuttle4;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
18/03/2025 07:44:10;;Satellite4;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
18/03/2025 07:44:09;;Satellite2;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
18/03/2025 07:44:09;;Satellite3;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
18/03/2025 07:44:08;;Satellite1;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
18/03/2025 07:43:56;;Shuttle3;ON;DB106.DBX16.3;#20 - General - Passaggio in modalità manuale con missioni appese
18/03/2025 07:43:55;;Satellite2;ON;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
18/03/2025 07:43:05;;H1;OFF;DB106.DBX9.1; - 73 - BLINDO 4 SPENTA
18/03/2025 07:43:05;;H1;OFF;DB106.DBX8.0; - 64 - SISTEMA DI SICUREZZA ZONA INGRESSO
18/03/2025 07:43:05;;H1;OFF;DB106.DBX9.0; - 72 - BLINDO 3 SPENTA
18/03/2025 07:43:05;;H1;OFF;DB106.DBX8.6; - 70 - BLINDO 1 SPENTA
18/03/2025 07:43:05;;H1;OFF;DB106.DBX8.7; - 71 - BLINDO 2 SPENTA
18/03/2025 07:43:05;;H2;OFF;DB106.DBX0.7; - 07 - PARACADUTE DISINSERITI DISCENSORE CON MACCHINA IN SICUREZZA
18/03/2025 07:43:05;;H2;OFF;DB106.DBX6.1; - 49 - BARRIERA C13 INTERVENUTA
18/03/2025 07:43:05;;H2;OFF;DB106.DBX0.1; - 01 - SICUREZZA ELEVATORI
18/03/2025 07:42:30;;H1;ON;DB106.DBX9.1; - 73 - BLINDO 4 SPENTA
18/03/2025 07:42:30;;Satellite2;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
18/03/2025 07:42:28;;H1;ON;DB106.DBX9.0; - 72 - BLINDO 3 SPENTA
18/03/2025 07:42:28;;H2;ON;DB106.DBX0.7; - 07 - PARACADUTE DISINSERITI DISCENSORE CON MACCHINA IN SICUREZZA
18/03/2025 07:42:26;;H1;ON;DB106.DBX8.7; - 71 - BLINDO 2 SPENTA
18/03/2025 07:42:26;;Satellite3;ON;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
18/03/2025 07:42:25;;Shuttle3;ON;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
18/03/2025 07:42:25;;Satellite4;ON;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
18/03/2025 07:42:25;;Shuttle1;ON;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
18/03/2025 07:42:24;;H2;ON;DB106.DBX0.1; - 01 - SICUREZZA ELEVATORI
18/03/2025 07:42:24;;Shuttle2;ON;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
18/03/2025 07:42:24;;H2;ON;DB106.DBX6.1; - 49 - BARRIERA C13 INTERVENUTA
18/03/2025 07:42:24;;Shuttle4;ON;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
18/03/2025 07:42:24;;Satellite2;ON;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
18/03/2025 07:42:24;;Satellite1;ON;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
18/03/2025 07:42:24;;H1;ON;DB106.DBX8.6; - 70 - BLINDO 1 SPENTA
18/03/2025 07:42:24;;H1;ON;DB106.DBX8.0; - 64 - SISTEMA DI SICUREZZA ZONA INGRESSO
18/03/2025 07:35:30;;Satellite1;OFF;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
18/03/2025 07:35:29;;Satellite1;ON;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
18/03/2025 07:32:25;;Satellite1;OFF;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
18/03/2025 07:32:24;;Satellite1;ON;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
18/03/2025 07:27:56;;Satellite4;OFF;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
18/03/2025 07:27:54;;Satellite4;ON;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
18/03/2025 07:27:46;;Shuttle2;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
18/03/2025 07:25:44;;Satellite2;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
18/03/2025 07:25:43;;Satellite2;OFF;DB106.DBX14.3;#2003 -  Hardware -  Batteria satellite non carica
18/03/2025 07:25:11;;Satellite4;OFF;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
18/03/2025 07:25:09;;Satellite4;ON;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
18/03/2025 07:23:33;;Satellite2;ON;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
18/03/2025 07:23:29;;Satellite4;OFF;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
18/03/2025 07:23:28;;Satellite4;ON;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
18/03/2025 06:38:05;;Shuttle2;ON;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
18/03/2025 06:37:44;;Shuttle2;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
18/03/2025 06:23:07;;Shuttle2;ON;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
18/03/2025 06:22:45;;Shuttle2;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
18/03/2025 05:30:02;;Satellite4;OFF;DB126.DBX4.0;#33 - Attivata Correzione per Satellite non in tolleranza
18/03/2025 05:30:01;;Satellite4;ON;DB126.DBX4.0;#33 - Attivata Correzione per Satellite non in tolleranza
18/03/2025 05:10:08;;Satellite4;OFF;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
18/03/2025 05:10:07;;Satellite4;ON;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
18/03/2025 05:05:10;;Satellite4;OFF;DB126.DBX6.0;#49 - Attivata Correzione per Satellite non in tolleranza
